id,question_id,choice_text,is_correct
62,16,tempo = int(input()); velocidade = int(input()); distancia = tempo + velocidade; litros = distancia / 12; print(f”{litros:.3f}”),0
63,16,tempo = int(input()); velocidade = int(input()); distancia = tempo * velocidade; litros = distancia * 12; print(f”{litros:.3f}”),0
64,16,tempo = int(input()); velocidade = int(input()); litros = tempo * velocidade / 12; print(f”{litros:.2f}”),0
65,17,"valor = int(input()); print(valor); for nota in [100, 50, 20, 10, 5, 2, 1]: print(f”{valor // nota} nota(s) de R$ {nota},00”); valor %= nota",1
66,17,"valor = int(input()); for nota in [100, 50, 20, 10, 5, 2, 1]: print(f”{valor} nota(s) de R$ {nota},00”); valor -= nota",0
67,17,"valor = int(input()); for nota in [100, 50, 20, 10, 5, 2, 1]: print(f”{valor % nota} nota(s) de R$ {nota},00”); valor //= nota",0
68,17,"valor = int(input()); for nota in [100, 50, 20, 10, 5, 2, 1]: print(f”{valor} nota(s) de R$ {nota},00”); valor += nota",0
69,18,segundos = int(input()); horas = segundos // 3600; segundos %= 3600; minutos = segundos // 60; segundos %= 60; print(f”{horas}:{minutos}:{segundos}”),1
70,18,segundos = int(input()); horas = segundos // 3600; minutos = segundos // 60; print(f”{horas}:{minutos}:{segundos}”),0
71,18,segundos = int(input()); horas = segundos / 3600; minutos = segundos / 60; segundos %= 60; print(f”{horas}:{minutos}:{segundos}”),0
72,18,segundos = int(input()); horas = segundos % 3600; minutos = segundos // 60; segundos %= 60; print(f”{horas}:{minutos}:{segundos}”),0
73,19,dias = int(input()); anos = dias // 365; dias %= 365; meses = dias // 30; dias %= 30; print(f”{anos} ano(s)\n{meses} mes(es)\n{dias} dia(s)”),1
74,19,dias = int(input()); anos = dias / 365; meses = dias / 30; dias %= 30; print(f”{anos} ano(s)\n{meses} mes(es)\n{dias} dia(s)”),0
75,19,dias = int(input()); anos = dias // 365; meses = dias // 30; dias %= 30; print(f”{anos} ano(s)\n{meses} mes(es)\n{dias} dia(s)”),0
76,19,dias = int(input()); anos = dias // 365; dias %= 30; meses = dias // 30; print(f”{anos} ano(s)\n{meses} mes(es)\n{dias} dia(s)”),0
77,20,"valor = float(input()); notas = [100, 50, 20, 10, 5, 2]; moedas = [1, 0.50, 0.25, 0.10, 0.05, 0.01]; print(“NOTAS:”); for nota in notas: print(f”{int(valor // nota)} nota(s) de R$ {nota:.2f}”); valor %= nota; print(“MOEDAS:”); for moeda in moedas: print(f”{int(valor // moeda)} moeda(s) de R$ {moeda:.2f}”); valor %= moeda",1
78,20,"valor = float(input()); notas = [100, 50, 20, 10, 5, 2]; moedas = [1, 0.50, 0.25, 0.10, 0.05, 0.01]; print(“NOTAS:”); for nota in notas: print(f”{int(valor % nota)} nota(s) de R$ {nota:.2f}”); valor %= nota; print(“MOEDAS:”); for moeda in moedas: print(f”{int(valor // moeda)} moeda(s) de R$ {moeda:.2f}”); valor %= moeda",0
79,20,"valor = float(input()); notas = [100, 50, 20, 10, 5, 2]; moedas = [1, 0.50, 0.25, 0.10, 0.05, 0.01]; print(“NOTAS:”); for nota in notas: print(f”{int(valor // nota)} nota(s) de R$ {nota:.2f}”); valor %= nota; print(“MOEDAS:”); for moeda in moedas: print(f”{int(valor % moeda)} moeda(s) de R$ {moeda:.2f}”); valor %= moeda",0
80,20,"valor = float(input()); notas = [100, 50, 20, 10, 5, 2]; moedas = [1, 0.50, 0.25, 0.10, 0.05, 0.01]; print(“NOTAS:”); for nota in notas: print(f”{int(valor % nota)} nota(s) de R$ {nota:.2f}”); valor %= nota; print(“MOEDAS:”); for moeda in moedas: print(f”{int(valor % moeda)} moeda(s) de R$ {moeda:.2f}”); valor %= moeda",0
81,21,"A, B, C, D = map(int, input().split()); print(“Valores aceitos” if B > C and D > A and (C + D) > (A + B) and C > 0 and D > 0 and A % 2 == 0 else “Valores nao aceitos”)",1
82,21,"A, B, C, D = map(int, input().split()); print(“Valores aceitos” if B > C and D > A and (C + D) < (A + B) and C > 0 and D > 0 and A % 2 == 0 else “Valores nao aceitos”)",0
83,21,"A, B, C, D = map(int, input().split()); print(“Valores aceitos” if B > C or D > A and (C + D) > (A + B) and C > 0 and D > 0 and A % 2 == 0 else “Valores nao aceitos”)",0
84,21,"A, B, C, D = map(int, input().split()); print(“Valores aceitos” if B > C and D > A and (C + D) > (A + B) and C > 0 and D > 0 else “Valores nao aceitos”)",0
85,22,"A, B, C = map(float, input().split()); delta = B2 - 4AC; print(f”R1 = {(-B + delta0.5) / (2A):.5f}\nR2 = {(-B - delta**0.5) / (2A):.5f}” if A != 0 and delta >= 0 else “Impossivel calcular”)",1
86,22,"A, B, C = map(float, input().split()); delta = B2 - 4AC; print(f”R1 = {(-B - delta0.5) / (2A):.5f}\nR2 = {(-B + delta**0.5) / (2A):.5f}” if delta >= 0 else “Impossivel calcular”)",0
87,22,"A, B, C = map(float, input().split()); delta = B2 - 4AC; print(f”R1 = {(-B + delta0.5) / (2A):.5f}\nR2 = {(-B - delta**0.5) / (2A):.5f}” if delta >= 0 else “Impossivel calcular”)",0
88,22,"A, B, C = map(float, input().split()); delta = B2 - 4AC; print(f”R1 = {(-B + delta0.5) / (2*A):.5f}”) if delta >= 0 else print(“Impossivel calcular”)",0
89,23,"valor = float(input()); print(“Intervalo [0,25]” if 0 <= valor <= 25 else “Intervalo (25,50]” if 25 < valor <= 50 else “Intervalo (50,75]” if 50 < valor <= 75 else “Intervalo (75,100]” if 75 < valor <= 100 else “Fora de intervalo”)",1
90,23,"valor = float(input()); print(“Intervalo [0,25]” if 0 < valor <= 25 else “Intervalo (25,50]” if 25 <= valor <= 50 else “Intervalo (50,75]” if 50 <= valor <= 75 else “Intervalo (75,100]” if 75 <= valor <= 100 else “Fora de intervalo”)",0
91,23,"valor = float(input()); print(“Intervalo [0,25]” if 0 < valor < 25 else “Intervalo (25,50]” if 25 <= valor < 50 else “Intervalo (50,75]” if 50 <= valor < 75 else “Intervalo (75,100]” if 75 <= valor < 100 else “Fora de intervalo”)",0
92,23,"valor = float(input()); print(“Intervalo [0,25]” if 0 <= valor <= 25 else “Intervalo (25,50]” if 25 < valor < 50 else “Intervalo (50,75]” if 50 < valor < 75 else “Intervalo (75,100]” if 75 < valor < 100 else “Fora de intervalo”)",0
93,24,"valores = list(map(int, input().split())); ordenados = sorted(valores); print(*ordenados, sep=”\n”); print(); print(*valores, sep=”\n”)",1
94,24,"valores = list(map(int, input().split())); ordenados = sorted(valores); print(*ordenados, sep=”\n”)",0
95,24,"valores = list(map(int, input().split())); print(*valores, sep=”\n”); print(); print(*sorted(valores), sep=”\n”)",0
96,24,"valores = list(map(int, input().split())); ordenados = sorted(valores); print(*valores, sep=”\n”); print(); print(*ordenados, sep=”\n”)",0
97,25,"A, B = map(int, input().split()); print(“Sao Multiplos” if A % B == 0 or B % A == 0 else “Nao sao Multiplos”)",1
98,25,"A, B = map(int, input().split()); print(“Sao Multiplos” if A % B == 0 and B % A == 0 else “Nao sao Multiplos”)",0
99,25,"A, B = map(int, input().split()); print(“Sao Multiplos” if A % B != 0 and B % A != 0 else “Nao sao Multiplos”)",0
100,25,"A, B = map(int, input().split()); print(“Sao Multiplos” if A * B == 0 else “Nao sao Multiplos”)",0
101,26,"inicio, fim = map(int, input().split()); duracao = (fim - inicio) % 24 or 24; print(f”O JOGO DUROU {duracao} HORA(S)”)",1
102,26,"inicio, fim = map(int, input().split()); duracao = (fim - inicio); print(f”O JOGO DUROU {duracao} HORA(S)”)",0
103,26,"inicio, fim = map(int, input().split()); duracao = (fim + inicio) % 24; print(f”O JOGO DUROU {duracao} HORA(S)”)",0
104,26,"inicio, fim = map(int, input().split()); duracao = (fim - inicio) % 24; print(f”O JOGO DUROU {duracao} HORA(S)”)",0
105,27,"hi, mi, hf, mf = map(int, input().split()); inicio = hi * 60 + mi; fim = hf * 60 + mf; duracao = (fim - inicio) % (24 * 60) or (24 * 60); horas, minutos = divmod(duracao, 60); print(f”O JOGO DUROU {horas} HORA(S) E {minutos} MINUTO(S)”)",1
106,27,"hi, mi, hf, mf = map(int, input().split()); inicio = hi * 60 + mi; fim = hf * 60 + mf; duracao = (fim - inicio); horas, minutos = divmod(duracao, 60); print(f”O JOGO DUROU {horas} HORA(S) E {minutos} MINUTO(S)”)",0
107,27,"hi, mi, hf, mf = map(int, input().split()); duracao_horas = hf - hi; duracao_minutos = mf - mi; print(f”O JOGO DUROU {duracao_horas} HORA(S) E {duracao_minutos} MINUTO(S)”)",0
108,27,"hi, mi, hf, mf = map(int, input().split()); duracao_horas = (hf - hi) % 24; duracao_minutos = (mf - mi) % 60; print(f”O JOGO DUROU {duracao_horas} HORA(S) E {duracao_minutos} MINUTO(S)”)",0
109,28,"meses = [“January”, “February”, “March”, “April”, “May”, “June”, “July”, “August”, “September”, “October”, “November”, “December”]; n = int(input()); print(meses[n-1])",1
110,28,n = int(input()); if n == 1: print(“January”); elif n == 2: print(“February”); elif n == 3: print(“March”); elif n == 4: print(“April”); elif n == 5: print(“May”); elif n == 6: print(“June”); elif n == 7: print(“July”); elif n == 8: print(“August”); elif n == 9: print(“September”); elif n == 10: print(“October”); elif n == 11: print(“November”); elif n == 12: print(“December”),0
111,28,"n = int(input()); meses = [“January”, “February”, “March”, “April”, “May”, “June”, “July”, “August”, “September”, “October”, “November”, “December”]; print(meses[n])",0
112,28,"n = int(input()); print([“January”, “February”, “March”, “April”, “May”, “June”, “July”, “August”, “September”, “October”, “November”, “December”][n])",0
113,29,"for i in range(2, 101, 2): print(i)",1
114,29,"for i in range(1, 101): if i % 2 == 0: print(i)",0
115,29,"print(”\n”.join(str(i) for i in range(2, 101, 2)))",0
116,29,"for i in range(1, 101, 2): print(i + 1)",0
117,30,valores = [float(input()) for _ in range(6)]; print(f”{sum(1 for v in valores if v > 0)} valores positivos”),1
118,30,valores = [float(input()) for _ in range(6)]; print(f”{len([v for v in valores if v > 0])} valores positivos”),0
119,30,count = 0; for _ in range(6): if float(input()) > 0: count += 1; print(f”{count} valores positivos”),0
120,30,valores = [float(input()) for _ in range(6)]; print(f”{sum(v > 0 for v in valores)} valores positivos”),0
121,31,"d1, h1, m1, s1 = map(int, input().split()); d2, h2, m2, s2 = map(int, input().split()); t1 = d1 * 86400 + h1 * 3600 + m1 * 60 + s1; t2 = d2 * 86400 + h2 * 3600 + m2 * 60 + s2; delta = t2 - t1; dias, resto = divmod(delta, 86400); horas, resto = divmod(resto, 3600); minutos, segundos = divmod(resto, 60); print(f”{dias} dia(s)\n{horas} hora(s)\n{minutos} minuto(s)\n{segundos} segundo(s)”)",1
122,31,"d1, h1, m1, s1 = map(int, input().split()); d2, h2, m2, s2 = map(int, input().split()); dias = d2 - d1; horas = h2 - h1; minutos = m2 - m1; segundos = s2 - s1; print(f”{dias} dia(s)\n{horas} hora(s)\n{minutos} minuto(s)\n{segundos} segundo(s)”)",0
123,31,"d1, h1, m1, s1 = map(int, input().split()); d2, h2, m2, s2 = map(int, input().split()); t1 = d1 * 86400 + h1 * 3600 + m1 * 60 + s1; t2 = d2 * 86400 + h2 * 3600 + m2 * 60 + s2; delta = t1 - t2; dias, resto = divmod(delta, 86400); horas, resto = divmod(resto, 3600); minutos, segundos = divmod(resto, 60); print(f”{dias} dia(s)\n{horas} hora(s)\n{minutos} minuto(s)\n{segundos} segundo(s)”)",0
124,31,"d1, h1, m1, s1 = map(int, input().split()); d2, h2, m2, s2 = map(int, input().split()); t1 = d1 * 86400 + h1 * 3600 + m1 * 60 + s1; t2 = d2 * 86400 + h2 * 3600 + m2 * 60 + s2; delta = abs(t2 - t1); dias = delta // 86400; resto = delta % 86400; horas = resto // 3600; minutos = resto % 3600 // 60; segundos = resto % 60; print(f”{dias} dia(s)\n{horas} hora(s)\n{minutos} minuto(s)\n{segundos} segundo(s)”)",0
125,32,valores = [float(input()) for _ in range(6)]; positivos = [v for v in valores if v > 0]; print(f”{len(positivos)} valores positivos”); print(f”{sum(positivos)/len(positivos):.1f}”),1
126,32,valores = [float(input()) for _ in range(6)]; positivos = [v for v in valores if v >= 0]; print(f”{len(positivos)} valores positivos”); print(f”{sum(positivos)/len(positivos):.1f}”),0
127,32,valores = [float(input()) for _ in range(6)]; positivos = [v for v in valores if v > 0]; print(f”{len(positivos)} valores positivos”); print(f”{sum(positivos):.1f}”),0
128,32,valores = [float(input()) for _ in range(6)]; print(f”{sum(1 for v in valores if v > 0)} valores positivos”); print(f”{sum(v for v in valores if v > 0):.1f}”),0
129,33,valores = [int(input()) for _ in range(5)]; print(f”{sum(1 for v in valores if v % 2 == 0)} valores pares”),1
130,33,valores = [int(input()) for _ in range(5)]; print(f”{len([v for v in valores if v % 2 == 0])} valores pares”),0
131,33,valores = [int(input()) for _ in range(5)]; pares = [v for v in valores if v % 2 == 0]; print(f”{len(pares)} valores pares”),0
132,33,count = 0; for _ in range(5): if int(input()) % 2 == 0: count += 1; print(f”{count} valores pares”),0
133,34,valores = [int(input()) for _ in range(5)]; pares = sum(1 for v in valores if v % 2 == 0); impares = sum(1 for v in valores if v % 2 != 0); positivos = sum(1 for v in valores if v > 0); negativos = sum(1 for v in valores if v < 0); print(f”{pares} valor(es) par(es)”); print(f”{impares} valor(es) impar(es)”); print(f”{positivos} valor(es) positivo(s)”); print(f”{negativos} valor(es) negativo(s)”),1
134,34,valores = [int(input()) for _ in range(5)]; pares = len([v for v in valores if v % 2 == 0]); impares = len([v for v in valores if v % 2 != 0]); positivos = len([v for v in valores if v > 0]); negativos = len([v for v in valores if v < 0]); print(f”{pares} valor(es) par(es)”); print(f”{impares} valor(es) impar(es)”); print(f”{positivos} valor(es) positivo(s)”); print(f”{negativos} valor(es) negativo(s)”),0
135,34,"count = {“pares”: 0, “impares”: 0, “positivos”: 0, “negativos”: 0}; for _ in range(5): v = int(input()); if v % 2 == 0: count[“pares”] += 1; else: count[“impares”] += 1; if v > 0: count[“positivos”] += 1; elif v < 0: count[“negativos”] += 1; print(f”{count[‘pares’]} valor(es) par(es)”); print(f”{count[‘impares’]} valor(es) impar(es)”); print(f”{count[‘positivos’]} valor(es) positivo(s)”); print(f”{count[‘negativos’]} valor(es) negativo(s)”)",0
136,34,valores = [int(input()) for _ in range(5)]; pares = sum(v % 2 == 0 for v in valores); impares = sum(v % 2 != 0 for v in valores); positivos = sum(v > 0 for v in valores); negativos = sum(v < 0 for v in valores); print(f”{pares} valor(es) par(es)”); print(f”{impares} valor(es) impar(es)”); print(f”{positivos} valor(es) positivo(s)”); print(f”{negativos} valor(es) negativo(s)”),0
137,35,"X = int(input()); for i in range(1, X + 1, 2): print(i)",1
138,35,"X = int(input()); for i in range(1, X): print(i if i % 2 != 0 else ‘’)",0
139,35,"X = int(input()); for i in range(1, X + 2, 2): print(i)",0
140,35,"X = int(input()); print(”\n”.join(str(i) for i in range(1, X + 1, 2)))",0
141,36,X = int(input()); count = 0; while count < 6: if X % 2 != 0: print(X); count += 1; X += 1,1
142,36,"X = int(input()); for i in range(X, X + 12, 2): print(i if i % 2 != 0 else ‘’)",0
143,36,X = int(input()); for i in range(6): print(X + i if (X + i) % 2 != 0 else X + i + 1),0
144,36,"X = int(input()); for i in range(X, X + 6): print(i if i % 2 != 0 else X + i)",0
145,37,"X, Y = map(int, input().split()); print(sum(i for i in range(min(X, Y) + 1, max(X, Y)) if i % 2 != 0))",1
146,37,"X, Y = map(int, input().split()); print(sum(i for i in range(min(X, Y), max(X, Y)) if i % 2 != 0))",0
147,37,"X, Y = map(int, input().split()); print(sum(i for i in range(X, Y) if i % 2 != 0))",0
148,37,"X, Y = map(int, input().split()); print(sum(i for i in range(min(X, Y), max(X, Y) + 1) if i % 2 != 0))",0
149,38,N = int(input()); dentro = fora = 0; for _ in range(N): X = int(input()); if 10 <= X <= 20: dentro += 1; else: fora += 1; print(f”{dentro} in”); print(f”{fora} out”),1
150,38,N = int(input()); dentro = 0; for _ in range(N): X = int(input()); if 10 <= X <= 20: dentro += 1; print(f”{dentro} in”); print(f”{N - dentro} out”),0
151,38,N = int(input()); dentro = sum(1 for _ in range(N) if 10 <= int(input()) <= 20); print(f”{dentro} in”); print(f”{N - dentro} out”),0
152,38,"N = int(input()); dentro, fora = 0, 0; for _ in range(N): X = int(input()); if 10 < X < 20: dentro += 1; else: fora += 1; print(f”{dentro} in”); print(f”{fora} out”)",0
153,39,"N = int(input()); [print(f”{i}^2 = {i**2}”) for i in range(2, N+1, 2)]",1
154,39,"N = int(input()); [print(f”{i}^2 = {i*i}”) for i in range(1, N+1) if i % 2 == 0]",0
155,39,"N = int(input()); print(”\n”.join(f”{i}^2 = {i**2}” for i in range(2, N+1, 2)))",0
156,39,"N = int(input()); [print(f”{i}^2 = {i**2}”) for i in range(1, N) if i % 2 == 0]",0
157,40,N = int(input()); for _ in range(N): X = int(input()); if X == 0: print(“NULL”); elif X % 2 == 0: print(“EVEN POSITIVE” if X > 0 else “EVEN NEGATIVE”); else: print(“ODD POSITIVE” if X > 0 else “ODD NEGATIVE”),1
158,40,N = int(input()); for _ in range(N): X = int(input()); if X % 2 == 0 and X == 0: print(“NULL”); elif X % 2 == 0: print(“EVEN POSITIVE” if X > 0 else “EVEN NEGATIVE”); else: print(“ODD POSITIVE” if X > 0 else “ODD NEGATIVE”),0
159,40,N = int(input()); for _ in range(N): X = int(input()); if X % 2 != 0: print(“ODD POSITIVE” if X > 0 else “ODD NEGATIVE”); elif X % 2 == 0: print(“EVEN POSITIVE” if X > 0 else “EVEN NEGATIVE”); else: print(“NULL”),0
160,40,N = int(input()); for _ in range(N): X = int(input()); if X % 2 == 0 and X != 0: print(“EVEN NULL”); else: print(“ODD POSITIVE” if X > 0 else “ODD NEGATIVE”),0
161,41,"N = int(input()); [print(i) for i in range(1, 10001) if i % N == 2]",1
162,41,"N = int(input()); for i in range(1, 10001): if i % N == 2: print(i)",0
163,41,"N = int(input()); print(”\n”.join(str(i) for i in range(1, 10001) if i % N == 2))",0
164,41,"N = int(input()); for i in range(1, 10001, N): if i % N == 2: print(i)",0
165,42,"N = int(input()); [print(f”{i} x {N} = {i * N}”) for i in range(1, 11)]",1
166,42,"N = int(input()); for i in range(1, 11): print(f”{i} x {N} = {i * N}”)",0
167,42,"N = int(input()); print(”\n”.join(f”{i} x {N} = {i * N}” for i in range(1, 11)))",0
168,42,N = int(input()); for i in range(10): print(f”{i + 1} x {N} = {(i + 1) * N}”),0
169,43,"N = int(input()); for _ in range(N): a, b, c = map(float, input().split()); media = (a * 2 + b * 3 + c * 5) / 10; print(f”{media:.1f}”)",1
170,43,"N = int(input()); for _ in range(N): a, b, c = map(float, input().split()); media = (a * 3 + b * 2 + c * 5) / 10; print(f”{media:.1f}”)",0
171,43,"N = int(input()); for _ in range(N): a, b, c = map(float, input().split()); media = (a + b + c) / 3; print(f”{media:.1f}”)",0
172,43,"N = int(input()); for _ in range(N): a, b, c = map(float, input().split()); media = (a * 5 + b * 3 + c * 2) / 10; print(f”{media:.1f}”)",0
173,44,valores = [int(input()) for _ in range(100)]; maior = max(valores); posicao = valores.index(maior) + 1; print(maior); print(posicao),1
174,44,valores = [int(input()) for _ in range(100)]; maior = max(valores); posicao = valores.index(maior); print(maior); print(posicao),0
175,44,valores = [int(input()) for _ in range(100)]; maior = max(valores); posicao = valores.count(maior); print(maior); print(posicao),0
176,44,valores = [int(input()) for _ in range(100)]; maior = min(valores); posicao = valores.index(maior) + 1; print(maior); print(posicao),0
177,45,"N = int(input()); for _ in range(N): X, Y = map(int, input().split()); print(sum(i for i in range(min(X, Y) + 1, max(X, Y)) if i % 2 != 0))",1
178,45,"N = int(input()); for _ in range(N): X, Y = map(int, input().split()); print(sum(i for i in range(min(X, Y), max(X, Y)) if i % 2 != 0))",0
179,45,"N = int(input()); for _ in range(N): X, Y = map(int, input().split()); print(sum(i for i in range(X, Y) if i % 2 != 0))",0
180,45,"N = int(input()); for _ in range(N): X, Y = map(int, input().split()); print(sum(i for i in range(min(X, Y), max(X, Y) + 1) if i % 2 != 0))",0
181,46,"while True: M, N = map(int, input().split()); if M <= 0 or N <= 0: break; menor, maior = min(M, N), max(M, N); sequencia = range(menor, maior + 1); print(” “.join(map(str, sequencia)), f”Sum={sum(sequencia)}”)",1
182,46,"while True: M, N = map(int, input().split()); if M <= 0 or N <= 0: break; menor, maior = min(M, N), max(M, N); print(” “.join(map(str, range(menor, maior + 1))), f”Sum={sum(range(menor, maior))}”)",0
